id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
86,2024-12-01,Cliente_010,Notebook,Computadores,Sudeste,7,3763.18
87,2024-06-11,Cliente_035,Tablet,Celulares,Nordeste,7,1836.52
89,2024-08-08,Cliente_023,Tablet,Celulares,Centro-Oeste,6,1697.92
90,2024-10-25,Cliente_016,Teclado,Perifericos,Nordeste,8,235.72
91,2024-02-07,Cliente_035,Mouse,Perifericos,Nordeste,3,118.88
92,2024-02-24,Cliente_025,Smartphone,Celulares,Centro-Oeste,8,2107.5
93,2024-12-17,Cliente_001,Tablet,Celulares,Sul,10,1880.15
94,2024-11-21,Cliente_023,Teclado,Perifericos,Sudeste,4,237.61
95,2024-08-13,Cliente_003,Mouse,Perifericos,Sul,5,111.04
96,2024-09-28,Cliente_035,Smartphone,Celulares,Nordeste,6,2200.63
97,2024-08-27,Cliente_022,Mouse,Perifericos,Norte,2,128.89
98,2024-01-08,Cliente_006,Tablet,Celulares,Nordeste,7,1732.16
99,2024-01-13,Cliente_015,Notebook,Computadores,Centro-Oeste,8,3566.95
100,2024-02-29,Cliente_020,Mouse,Perifericos,Sul,7,113.08
101,2024-12-09,Cliente_030,Monitor,Computadores,Sudeste,6,1286.28
102,2024-01-17,Cliente_027,Monitor,Computadores,Nordeste,5,1236.53
103,2024-07-22,Cliente_023,Teclado,Perifericos,Norte,1,241.04
104,2024-05-04,Cliente_004,Notebook,Computadores,Sul,6,3773.74
105,2024-01-02,Cliente_010,Tablet,Celulares,Sudeste,10,1735.86
107,2024-09-19,Cliente_029,Monitor,Computadores,Norte,6,1217.98
108,2024-02-01,Cliente_030,Tablet,Celulares,Sudeste,1,1943.59
109,2024-03-05,Cliente_010,Tablet,Celulares,Centro-Oeste,2,1735.2
110,2024-12-25,Cliente_028,Teclado,Perifericos,Sul,2,234.58
111,2024-07-23,Cliente_022,Monitor,Computadores,Centro-Oeste,8,1183.87
112,2024-02-17,Cliente_006,Notebook,Computadores,Norte,2,3461.85
113,2024-06-30,Cliente_008,Tablet,Celulares,Nordeste,7,1907.6
114,2024-09-16,Cliente_007,Tablet,Celulares,Nordeste,10,1717.27
115,2024-10-14,Cliente_015,Teclado,Perifericos,Nordeste,7,268.98
116,2024-12-25,Cliente_012,Notebook,Computadores,Sudeste,5,3646.95
117,2024-09-28,Cliente_002,Smartphone,Celulares,Norte,2,2099.73
118,2024-03-20,Cliente_006,Teclado,Perifericos,Centro-Oeste,1,236.3
119,2024-09-19,Cliente_018,Monitor,Computadores,Sudeste,4,1125.85
120,2024-01-29,Cliente_026,Smartphone,Celulares,Sudeste,10,2026.71
121,2024-03-07,Cliente_028,Monitor,Computadores,Sudeste,3,1177.0
122,2024-02-09,Cliente_002,Monitor,Computadores,Nordeste,70,1269.53
123,2024-02-15,Cliente_030,Smartphone,Celulares,Nordeste,6,2177.72
124,2024-02-09,Cliente_022,Smartphone,Celulares,Sul,3,2203.69
125,2024-05-11,Cliente_007,Smartphone,Celulares,Centro-Oeste,3,2093.44
126,2024-11-25,Cliente_029,Monitor,Computadores,Centro-Oeste,10,1225.98
127,2024-10-29,Cliente_020,Mouse,Perifericos,Sudeste,5,111.48
128,2024-10-31,Cliente_006,Mouse,Perifericos,Norte,10,120.14
129,2024-11-05,Cliente_013,Mouse,Perifericos,Sudeste,6,119.53
130,2024-05-06,Cliente_012,Teclado,Perifericos,Centro-Oeste,1,258.3
131,2024-01-27,Cliente_022,Monitor,Computadores,Norte,10,1255.53
132,2024-10-25,Cliente_022,Smartphone,Celulares,Sudeste,2,2257.59
133,2024-03-06,Cliente_025,Tablet,Celulares,Centro-Oeste,6,1848.99
134,2024-07-04,Cliente_024,Teclado,Perifericos,Sul,1,242.35
135,2024-09-16,Cliente_019,Notebook,Computadores,Sul,2,3651.69
136,2024-03-24,Cliente_025,Teclado,Perifericos,Nordeste,3,237.23
137,2024-11-08,Cliente_016,Mouse,Perifericos,Centro-Oeste,8,115.87
138,2024-08-13,Cliente_024,Smartphone,Celulares,Norte,10,2186.51
139,2024-11-24,Cliente_017,Smartphone,Celulares,Sudeste,1,2193.17
140,2024-09-19,Cliente_018,Smartphone,Celulares,Sudeste,8,2075.87
141,2024-09-14,Cliente_004,Monitor,Computadores,Nordeste,7,1175.8
142,2024-05-26,Cliente_009,Smartphone,Celulares,Sudeste,1,2346.92
143,2024-03-17,Cliente_017,Notebook,Computadores,Sudeste,4,3527.33
144,2024-08-22,Cliente_027,Smartphone,Celulares,Sul,10,2046.11
145,2024-11-10,Cliente_028,Tablet,Celulares,Norte,1,1757.61
147,2024-12-02,Cliente_023,Notebook,Computadores,Sul,4,3571.82
148,2024-11-19,Cliente_030,Mouse,Perifericos,Sul,8,113.9
149,2024-09-20,Cliente_021,Notebook,Computadores,Sudeste,5,3443.01
150,2024-03-04,Cliente_022,Mouse,Perifericos,Sul,5,125.75
151,2024-09-22,Cliente_032,Monitor,Computadores,Nordeste,6,1155.21
152,2024-06-16,Cliente_007,Tablet,Celulares,Sudeste,2,1846.34
153,2024-08-10,Cliente_023,Mouse,Perifericos,Sul,10,115.67
154,2024-12-13,Cliente_010,Notebook,Computadores,Sudeste,10,18287.65
155,2024-07-08,Cliente_010,Teclado,Perifericos,Sul,8,244.88
156,2024-09-12,Cliente_002,Notebook,Computadores,Norte,3,3509.94
157,2024-03-03,Cliente_032,Tablet,Celulares,Nordeste,4,1695.09
158,2024-10-08,Cliente_023,Mouse,Perifericos,Nordeste,2,120.81
159,2024-04-12,Cliente_015,Teclado,Perifericos,Norte,2,261.68
160,2024-06-07,Cliente_006,Smartphone,Celulares,Sul,2,2164.15
161,2024-08-26,Cliente_005,Tablet,Celulares,Sul,8,1851.87
162,2024-03-04,Cliente_033,Monitor,Computadores,Norte,1,1203.48
163,2024-04-10,Cliente_006,Tablet,Celulares,Sul,5,1838.9
164,2024-12-03,Cliente_010,Teclado,Perifericos,Sudeste,3,254.98
165,2024-10-19,Cliente_017,Notebook,Computadores,Centro-Oeste,4,3453.29
167,2024-07-23,Cliente_021,Mouse,Perifericos,Sul,6,112.91
168,2024-05-28,Cliente_007,Smartphone,Celulares,Norte,1,2356.78
169,2024-03-22,Cliente_021,Mouse,Perifericos,Norte,4,119.97
171,2024-03-09,Cliente_007,Notebook,Computadores,Sul,7,3714.18
172,2024-07-16,Cliente_019,Tablet,Celulares,Sudeste,2,1801.23
173,2024-10-12,Cliente_024,Monitor,Computadores,Sul,6,1284.28
174,2024-09-22,Cliente_022,Mouse,Perifericos,Norte,8,119.17
176,2024-11-01,Cliente_020,Monitor,Computadores,Norte,1,1195.12
177,2024-11-18,Cliente_011,Monitor,Computadores,Sudeste,9,1242.47
178,2024-06-09,Cliente_002,Smartphone,Celulares,Sudeste,8,2171.41
179,2024-04-16,Cliente_009,Mouse,Perifericos,Norte,9,121.17
180,2024-12-12,Cliente_035,Tablet,Celulares,Sul,6,1878.33
181,2024-06-01,Cliente_020,Tablet,Celulares,Nordeste,4,1878.1
182,2024-12-12,Cliente_008,Tablet,Celulares,Sudeste,10,1812.44
183,2024-08-14,Cliente_006,Tablet,Celulares,Nordeste,6,1844.92
187,2024-01-19,Cliente_027,Smartphone,Celulares,Sudeste,3,2375.0
188,2024-11-04,Cliente_020,Notebook,Computadores,Sul,10,3280.09
189,2024-04-08,Cliente_030,Teclado,Perifericos,Nordeste,55,262.35
190,2024-11-08,Cliente_013,Teclado,Perifericos,Sul,3,264.25
191,2024-05-07,Cliente_031,Smartphone,Celulares,Norte,6,2026.4
192,2024-12-20,Cliente_017,Notebook,Computadores,Nordeste,6,3352.33
193,2024-07-07,Cliente_008,Mouse,Perifericos,Centro-Oeste,5,122.2
194,2024-12-06,Cliente_031,Mouse,Perifericos,Norte,9,126.25
195,2024-10-15,Cliente_024,Mouse,Perifericos,Norte,2,112.55
196,2024-10-25,Cliente_008,Monitor,Computadores,Norte,4,1197.85
197,2024-01-12,Cliente_030,Notebook,Computadores,Sudeste,5,3441.73
198,2024-08-29,Cliente_004,Teclado,Perifericos,Centro-Oeste,2,231.27
199,2024-07-12,Cliente_025,Tablet,Celulares,Sul,8,1764.19
201,2024-04-27,Cliente_035,Monitor,Computadores,Centro-Oeste,7,1151.52
202,2024-04-15,Cliente_002,Teclado,Perifericos,Sudeste,4,232.69
203,2024-10-03,Cliente_029,Monitor,Computadores,Norte,4,1145.72
204,2024-06-03,Cliente_021,Tablet,Celulares,Norte,4,1908.36
205,2024-10-11,Cliente_012,Mouse,Perifericos,Centro-Oeste,7,119.92
206,2024-07-11,Cliente_010,Monitor,Computadores,Centro-Oeste,5,1139.3
207,2024-10-12,Cliente_027,Notebook,Computadores,Nordeste,7,3516.8
208,2024-01-27,Cliente_035,Notebook,Computadores,Norte,4,3370.34
209,2024-06-19,Cliente_031,Smartphone,Celulares,Centro-Oeste,4,2130.72
210,2024-05-02,Cliente_014,Smartphone,Celulares,Norte,7,2218.33
211,2024-08-28,Cliente_030,Monitor,Computadores,Sul,2,1250.23
212,2024-10-26,Cliente_017,Notebook,Computadores,Centro-Oeste,9,3544.32
213,2024-09-07,Cliente_022,Teclado,Perifericos,Norte,5,268.66
214,2024-11-24,Cliente_012,Monitor,Computadores,Sudeste,9,1287.79
217,2024-02-24,Cliente_028,Mouse,Perifericos,Centro-Oeste,3,128.03
218,2024-08-23,Cliente_024,Notebook,Computadores,Sudeste,7,3536.4
220,2024-01-22,Cliente_007,Teclado,Perifericos,Nordeste,9,239.19
